iShares Core S&P 500 ETF
Fund Holdings as of,"Mar 01, 2023"
Inception Date,"May 15, 2000"
Shares Outstanding,"746,800,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"PLD","PROLOGIS REIT INC","Real Estate","Equity","995,933,403.73","0.34","995,933,403.73","8,222,021.00","121.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LMT","LOCKHEED MARTIN CORP","Industrials","Equity","985,483,186.56","0.33","985,483,186.56","2,077,632.00","474.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MDT","MEDTRONIC PLC","Health Care","Equity","971,756,693.28","0.33","971,756,693.28","11,839,141.00","82.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CVS","CVS HEALTH CORP","Health Care","Equity","965,217,829.02","0.33","965,217,829.02","11,703,866.00","82.47","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AXP","AMERICAN EXPRESS","Financials","Equity","936,662,347.88","0.32","936,662,347.88","5,324,668.00","175.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","931,137,639.10","0.32","931,137,639.10","36,760,270.00","25.33","United States","NASDAQ","USD","1.00","USD","-"
"BLK","BLACKROCK INC","Financials","Equity","910,453,848.56","0.31","910,453,848.56","1,337,801.00","680.56","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","898,563,849.04","0.30","898,563,849.04","7,663,004.00","117.26","United States","NASDAQ","USD","1.00","USD","-"
"GILD","GILEAD SCIENCES INC","Health Care","Equity","889,174,943.37","0.30","889,174,943.37","11,171,943.00","79.59","United States","NASDAQ","USD","1.00","USD","-"
"C","CITIGROUP INC","Financials","Equity","888,483,253.00","0.30","888,483,253.00","17,252,102.00","51.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BKNG","BOOKING HOLDINGS INC","Consumer Discretionary","Equity","881,898,024.96","0.30","881,898,024.96","345,528.00","2,552.32","United States","NASDAQ","USD","1.00","USD","-"
"ADI","ANALOG DEVICES INC","Information Technology","Equity","838,904,731.75","0.28","838,904,731.75","4,581,425.00","183.11","United States","NASDAQ","USD","1.00","USD","-"
"GE","GENERAL ELECTRIC","Industrials","Equity","818,906,517.24","0.28","818,906,517.24","9,732,666.00","84.14","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADP","AUTOMATIC DATA PROCESSING INC","Information Technology","Equity","811,266,734.96","0.27","811,266,734.96","3,694,966.00","219.56","United States","NASDAQ","USD","1.00","USD","-"
"AMT","AMERICAN TOWER REIT CORP","Real Estate","Equity","808,268,076.56","0.27","808,268,076.56","4,147,304.00","194.89","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TJX","TJX INC","Consumer Discretionary","Equity","794,868,519.06","0.27","794,868,519.06","10,341,771.00","76.86","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CI","CIGNA","Health Care","Equity","786,339,015.00","0.27","786,339,015.00","2,723,252.00","288.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Consumer Staples","Equity","780,802,409.94","0.26","780,802,409.94","12,163,926.00","64.19","United States","NASDAQ","USD","1.00","USD","-"
"SYK","STRYKER CORP","Health Care","Equity","779,916,239.28","0.26","779,916,239.28","3,000,024.00","259.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CB","CHUBB LTD","Financials","Equity","774,513,329.50","0.26","774,513,329.50","3,696,961.00","209.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NOW","SERVICENOW INC","Information Technology","Equity","771,760,858.32","0.26","771,760,858.32","1,799,228.00","428.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TMUS","T MOBILE US INC","Communication","Equity","751,569,407.31","0.25","751,569,407.31","5,319,339.00","141.29","United States","NASDAQ","USD","1.00","USD","-"
"PYPL","PAYPAL HOLDINGS INC","Information Technology","Equity","749,609,176.28","0.25","749,609,176.28","10,154,554.00","73.82","United States","NASDAQ","USD","1.00","USD","-"
"PGR","PROGRESSIVE CORP","Financials","Equity","741,205,474.68","0.25","741,205,474.68","5,211,316.00","142.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MO","ALTRIA GROUP INC","Consumer Staples","Equity","736,708,094.85","0.25","736,708,094.85","15,963,339.00","46.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"REGN","REGENERON PHARMACEUTICALS INC","Health Care","Equity","734,864,162.56","0.25","734,864,162.56","953,824.00","770.44","United States","NASDAQ","USD","1.00","USD","-"
"MMC","MARSH & MCLENNAN INC","Financials","Equity","715,783,347.43","0.24","715,783,347.43","4,418,143.00","162.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ISRG","INTUITIVE SURGICAL INC","Health Care","Equity","715,570,050.95","0.24","715,570,050.95","3,147,715.00","227.33","United States","NASDAQ","USD","1.00","USD","-"
"ZTS","ZOETIS INC CLASS A","Health Care","Equity","695,642,557.35","0.24","695,642,557.35","4,151,355.00","167.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SLB","SCHLUMBERGER NV","Energy","Equity","693,290,175.93","0.23","693,290,175.93","12,630,537.00","54.89","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VRTX","VERTEX PHARMACEUTICALS INC","Health Care","Equity","665,887,201.95","0.23","665,887,201.95","2,286,465.00","291.23","United States","NASDAQ","USD","1.00","USD","-"
"TGT","TARGET CORP","Consumer Discretionary","Equity","665,789,168.80","0.23","665,789,168.80","4,099,687.00","162.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FISV","FISERV INC","Information Technology","Equity","655,070,231.82","0.22","655,070,231.82","5,656,422.00","115.81","United States","NASDAQ","USD","1.00","USD","-"
"DUK","DUKE ENERGY CORP","Utilities","Equity","630,426,590.43","0.21","630,426,590.43","6,859,173.00","91.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EOG","EOG RESOURCES INC","Energy","Equity","617,431,506.27","0.21","617,431,506.27","5,232,027.00","118.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ETN","EATON PLC","Industrials","Equity","615,769,655.61","0.21","615,769,655.61","3,542,367.00","173.83","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
