iShares Core S&P 500 ETF
Fund Holdings as of,"May 23, 2023"
Inception Date,"May 15, 2000"
Shares Outstanding,"742,000,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"MS","MORGAN STANLEY","Financials","Equity","957,719,670.48","0.31","957,719,670.48","11,589,057.00","82.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ISRG","INTUITIVE SURGICAL INC","Health Care","Equity","936,884,261.76","0.30","936,884,261.76","3,108,029.00","301.44","United States","NASDAQ","USD","1.00","USD","-"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","930,981,658.85","0.30","930,981,658.85","7,478,365.00","124.49","United States","NASDAQ","USD","1.00","USD","-"
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Consumer Staples","Equity","914,831,516.20","0.30","914,831,516.20","12,092,948.00","75.65","United States","NASDAQ","USD","1.00","USD","-"
"LMT","LOCKHEED MARTIN CORP","Industrials","Equity","912,249,059.83","0.30","912,249,059.83","2,015,441.00","452.63","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BKNG","BOOKING HOLDINGS INC","Consumer Discretionary","Equity","907,528,659.12","0.29","907,528,659.12","344,088.00","2,637.49","United States","NASDAQ","USD","1.00","USD","-"
"NOW","SERVICENOW INC","Information Technology","Equity","900,603,598.42","0.29","900,603,598.42","1,800,703.00","500.14","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BLK","BLACKROCK INC","Financials","Equity","878,744,698.56","0.28","878,744,698.56","1,328,352.00","661.53","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GILD","GILEAD SCIENCES INC","Health Care","Equity","869,190,746.18","0.28","869,190,746.18","11,061,221.00","78.58","United States","NASDAQ","USD","1.00","USD","-"
"DE","DEERE","Industrials","Equity","864,656,700.48","0.28","864,656,700.48","2,398,626.00","360.48","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADI","ANALOG DEVICES INC","Information Technology","Equity","844,880,991.12","0.27","844,880,991.12","4,495,961.00","187.92","United States","NASDAQ","USD","1.00","USD","-"
"SYK","STRYKER CORP","Health Care","Equity","819,924,828.80","0.27","819,924,828.80","2,990,680.00","274.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AXP","AMERICAN EXPRESS","Financials","Equity","805,662,952.48","0.26","805,662,952.48","5,280,958.00","152.56","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TJX","TJX INC","Consumer Discretionary","Equity","794,245,610.97","0.26","794,245,610.97","10,249,653.00","77.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CVS","CVS HEALTH CORP","Health Care","Equity","793,571,467.11","0.26","793,571,467.11","11,390,433.00","69.67","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADP","AUTOMATIC DATA PROCESSING INC","Industrials","Equity","792,235,272.15","0.26","792,235,272.15","3,675,413.00","215.55","United States","NASDAQ","USD","1.00","USD","-"
"C","CITIGROUP INC","Financials","Equity","788,754,734.96","0.26","788,754,734.96","17,180,456.00","45.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMT","AMERICAN TOWER REIT CORP","Real Estate","Equity","777,076,997.95","0.25","777,076,997.95","4,130,093.00","188.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MMC","MARSH & MCLENNAN INC","Financials","Equity","765,753,078.40","0.25","765,753,078.40","4,390,786.00","174.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VRTX","VERTEX PHARMACEUTICALS INC","Health Care","Equity","760,550,544.93","0.25","760,550,544.93","2,280,443.00","333.51","United States","NASDAQ","USD","1.00","USD","-"
"TMUS","T MOBILE US INC","Communication","Equity","742,742,146.56","0.24","742,742,146.56","5,253,888.00","141.37","United States","NASDAQ","USD","1.00","USD","-"
"CB","CHUBB LTD","Financials","Equity","723,218,611.44","0.23","723,218,611.44","3,681,626.00","196.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SCHW","CHARLES SCHWAB CORP","Financials","Equity","714,246,218.87","0.23","714,246,218.87","13,529,953.00","52.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ZTS","ZOETIS INC CLASS A","Health Care","Equity","713,848,342.59","0.23","713,848,342.59","4,134,177.00","172.67","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"REGN","REGENERON PHARMACEUTICALS INC","Health Care","Equity","713,859,752.64","0.23","713,859,752.64","953,644.00","748.56","United States","NASDAQ","USD","1.00","USD","-"
"MO","ALTRIA GROUP INC","Consumer Staples","Equity","711,609,696.98","0.23","711,609,696.98","15,838,186.00","44.93","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PGR","PROGRESSIVE CORP","Financials","Equity","691,849,003.65","0.22","691,849,003.65","5,188,219.00","133.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SO","SOUTHERN","Utilities","Equity","687,084,664.05","0.22","687,084,664.05","9,656,847.00","71.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LRCX","LAM RESEARCH CORP","Information Technology","Equity","686,404,446.10","0.22","686,404,446.10","1,196,890.00","573.49","United States","NASDAQ","USD","1.00","USD","-"
"CI","CIGNA","Health Care","Equity","667,416,190.56","0.22","667,416,190.56","2,649,318.00","251.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FISV","FISERV INC","Financials","Equity","666,199,061.82","0.22","666,199,061.82","5,632,866.00","118.27","United States","NASDAQ","USD","1.00","USD","-"
